company,funding_date,funding_amount_usd,investor
Jimenez and Sons,2025-01-25,1753060000,Y Combinator
"Ward, Woods and Howell",2025-01-25,529185000,Tiger Global
Roberts-Powell,2025-01-25,152915000,Accel
Nichols-Brown,2025-01-25,480664000,Index Ventures
Young Ltd,2025-01-25,2827715000,SoftBank
Wallace Ltd,2025-01-25,201743000,Accel
Stafford and Sons,2025-01-25,902285000,Accel
"Myers, Browning and Todd",2025-01-25,175435000,SoftBank
Carter-Ibarra,2025-01-25,301018000,Tiger Global
"Smith, Hardin and Miller",2025-01-25,249855000,SoftBank
Holland Group,2025-01-25,257146000,Tiger Global
"Odonnell, Baker and Davis",2025-01-25,798142000,Y Combinator
Wheeler Ltd,2025-01-25,578909000,Y Combinator
Hampton-Wright,2025-01-25,239382000,Index Ventures
Schultz PLC,2025-01-24,1020786000,Tiger Global
"Rivera, Cruz and Huffman",2025-01-24,141276000,Index Ventures
Hampton Ltd,2025-01-24,1937136000,Index Ventures
"Johnson, Reynolds and Gross",2025-01-24,366246000,SoftBank
"Byrd, Williams and Carter",2025-01-24,567552000,Accel
"Ewing, Taylor and Baker",2025-01-24,675512000,Sequoia
"Medina, Rowe and King",2025-01-24,1039895000,Andreessen Horowitz
Landry-Martin,2025-01-24,877367000,Tiger Global
"Crawford, Jensen and Gonzalez",2025-01-24,66459000,Sequoia
Johnson-Kent,2025-01-24,326886000,Sequoia
Yoder Inc,2025-01-24,235290000,Tiger Global
Morrison Inc,2025-01-24,363226000,SoftBank
Hardin-Callahan,2025-01-24,219938000,Andreessen Horowitz
Burnett-Johnson,2025-01-24,1010611000,Andreessen Horowitz
"Mccullough, Mosley and Richards",2025-01-24,362251000,Andreessen Horowitz
"Sloan, Bryant and Ramos",2025-01-24,75216000,Y Combinator
Montes-Nguyen,2025-01-23,278627000,Andreessen Horowitz
White LLC,2025-01-23,636358000,Andreessen Horowitz
Wilson LLC,2025-01-23,862547000,Accel
Sanchez LLC,2025-01-23,742428000,Sequoia
"Johnson, Hill and Carter",2025-01-23,214056000,Tiger Global
"Ellis, Howell and Arellano",2025-01-23,141222000,Sequoia
"Mcguire, Mayer and Jordan",2025-01-23,421753000,Y Combinator
Collins-Lutz,2025-01-23,5010849000,Y Combinator
Osborne-Santiago,2025-01-23,488129000,Accel
"Thomas, Johnson and Guerra",2025-01-23,528787000,Accel
"Lawson, Jenkins and Perry",2025-01-23,728391000,Andreessen Horowitz
Acevedo LLC,2025-01-23,6767302000,Y Combinator
"Greene, Saunders and Mathis",2025-01-22,191667000,Index Ventures
"Mercer, Johnson and Lambert",2025-01-22,1801307000,Andreessen Horowitz
Cole Ltd,2025-01-22,405774000,Accel
Morgan LLC,2025-01-22,76840000,Andreessen Horowitz
Fritz-Delgado,2025-01-22,494360000,SoftBank
"Gordon, Hernandez and Carter",2025-01-22,263895000,Y Combinator
Brown Group,2025-01-22,54225000,SoftBank
Clark-Luna,2025-01-22,400429000,Tiger Global
"Crane, Terrell and Wood",2025-01-22,140962000,SoftBank
Reed-Smith,2025-01-22,523133000,Tiger Global
"Miller, Gardner and Flynn",2025-01-22,413222000,SoftBank
"Williams, Shelton and Collier",2025-01-22,184115000,Andreessen Horowitz
Peterson-Maxwell,2025-01-22,1840712000,Andreessen Horowitz
"Johnson, Martinez and Boyd",2025-01-21,124368000,Accel
"Hays, Krueger and Martin",2025-01-21,243928000,Accel
Lyons-Washington,2025-01-21,3379289000,Sequoia
"Miller, Campbell and Anderson",2025-01-21,564419000,Tiger Global
Cortez PLC,2025-01-21,845485000,SoftBank
"Perez, Kelley and Yu",2025-01-21,1046638000,Sequoia
Rodriguez and Sons,2025-01-21,175220000,Tiger Global
Johnson-Thomas,2025-01-21,1173827000,Accel
"Williams, Kline and Pennington",2025-01-21,583435000,Tiger Global
Phillips PLC,2025-01-21,89613000,Sequoia
Bradford-Brown,2025-01-20,437759000,Tiger Global
Robinson and Sons,2025-01-20,1711433000,SoftBank
Miller-Herrera,2025-01-20,1891552000,Andreessen Horowitz
"Shannon, Ferrell and Johnson",2025-01-20,2988512000,Accel
Lyons-Lynn,2025-01-20,734467000,Index Ventures
Collins Ltd,2025-01-20,291870000,SoftBank
Myers-Booth,2025-01-20,78722000,Andreessen Horowitz
Lambert-Randolph,2025-01-20,651185000,Index Ventures
Boyle-Sparks,2025-01-20,200846000,SoftBank
Edwards-Ho,2025-01-20,5388681000,Sequoia
Thomas-Taylor,2025-01-20,591372000,Accel
Taylor LLC,2025-01-20,6894669000,SoftBank
Taylor Inc,2025-01-20,808546000,Accel
Frazier-Young,2025-01-20,2241963000,SoftBank
James Group,2025-01-20,776117000,Accel
"Cisneros, Erickson and Ross",2025-01-19,240771000,Tiger Global
Edwards PLC,2025-01-19,1060373000,Sequoia
Diaz Inc,2025-01-19,518546000,Index Ventures
Baird PLC,2025-01-19,1122460000,Accel
Ross-Acosta,2025-01-19,1273932000,SoftBank
"Miller, Bryant and Mendoza",2025-01-19,405356000,Accel
Bell-Fernandez,2025-01-19,265984000,Sequoia
Mathis-Kim,2025-01-19,700753000,Sequoia
Dyer-Johnson,2025-01-19,52753000,Accel
Sexton-Benson,2025-01-19,3913651000,Andreessen Horowitz
"Guerrero, Campos and Wright",2025-01-19,298040000,Accel
"Campbell, Murphy and Martinez",2025-01-19,1051057000,Index Ventures
"Mills, French and Miller",2025-01-19,4572875000,Y Combinator
Nelson-Nelson,2025-01-19,299770000,Accel
"Espinoza, Miller and Walker",2025-01-18,459345000,Andreessen Horowitz
"Johnson, Martin and Martin",2025-01-18,989483000,Tiger Global
Berger and Sons,2025-01-18,7742100000,Accel
Bradley-Richards,2025-01-18,4919824000,Andreessen Horowitz
Stone PLC,2025-01-18,716840000,Y Combinator
Simon PLC,2025-01-18,87536000,Accel
Wheeler Group,2025-01-18,166536000,Andreessen Horowitz
Owens-Daniels,2025-01-18,1735790000,Sequoia
"Khan, Sweeney and Acevedo",2025-01-18,243382000,Andreessen Horowitz
Yu PLC,2025-01-18,475658000,Sequoia
Morris LLC,2025-01-18,31461000,Andreessen Horowitz
Torres-Wilson,2025-01-18,1435703000,SoftBank
Thompson-Nelson,2025-01-18,492559000,SoftBank
"Ward, Cooper and Howard",2025-01-18,1106039000,Accel
"Holloway, Griffin and Young",2025-01-17,128369000,Tiger Global
"Andrews, Osborn and Martinez",2025-01-17,281791000,Andreessen Horowitz
Thomas-Mclaughlin,2025-01-17,331553000,SoftBank
"Gray, Rodgers and Benitez",2025-01-17,2737237000,Tiger Global
Hurley-Smith,2025-01-16,137223000,SoftBank
"Spencer, Berry and Lloyd",2025-01-16,362699000,Sequoia
Gordon-Johnson,2025-01-16,451334000,Y Combinator
Jones-Frederick,2025-01-16,484776000,Andreessen Horowitz
Frazier-Gomez,2025-01-16,1440769000,Andreessen Horowitz
Castro-Gallegos,2025-01-16,986210000,Accel
Ross-Anderson,2025-01-16,72701000,Y Combinator
Walker-Horn,2025-01-16,176385000,Accel
Ramos and Sons,2025-01-16,174226000,Accel
"Hall, Oconnor and Sanchez",2025-01-16,763032000,Tiger Global
Pena LLC,2025-01-16,523313000,Tiger Global
"Coleman, Holloway and Munoz",2025-01-16,2555350000,SoftBank
"Henry, Garcia and Lee",2025-01-16,1251173000,SoftBank
"Lee, Miller and Mckenzie",2025-01-16,1976265000,Index Ventures
"Johnson, Smith and Love",2025-01-16,602394000,SoftBank
"Everett, Scott and Morales",2025-01-15,388880000,Andreessen Horowitz
"Wagner, Hurley and Blackwell",2025-01-15,478055000,SoftBank
Hicks Ltd,2025-01-15,572672000,Index Ventures
"Mullins, Perkins and Rivas",2025-01-15,193748000,Tiger Global
Gibbs PLC,2025-01-15,617240000,Accel
Webb PLC,2025-01-15,1307440000,Y Combinator
Martin-Walker,2025-01-15,80089000,Accel
Lee-Cabrera,2025-01-15,1625280000,Tiger Global
White-Garcia,2025-01-15,833260000,Y Combinator
Taylor LLC,2025-01-15,839221000,Sequoia
Lopez-Ford,2025-01-15,536497000,Index Ventures
King-Harris,2025-01-15,287669000,Sequoia
"Jones, Wallace and Young",2025-01-15,430597000,Sequoia
Morgan-Garcia,2025-01-15,266637000,Andreessen Horowitz
Harris Ltd,2025-01-15,463863000,Andreessen Horowitz
"Brown, Hart and Mitchell",2025-01-15,284074000,Y Combinator
Cole-Barnes,2025-01-15,563115000,Index Ventures
Greer Ltd,2025-01-15,669244000,Tiger Global
"Porter, Carpenter and Lawson",2025-01-15,404280000,Tiger Global
Evans Inc,2025-01-15,222809000,Index Ventures
Sanchez Group,2025-01-14,439864000,Andreessen Horowitz
Massey LLC,2025-01-14,600937000,Andreessen Horowitz
Solomon-Washington,2025-01-14,174328000,Sequoia
Wilson LLC,2025-01-14,356065000,Index Ventures
Hernandez-Perry,2025-01-14,292602000,Index Ventures
Davis-Copeland,2025-01-14,459662000,Andreessen Horowitz
"Reeves, Phelps and Miller",2025-01-14,1781787000,Accel
Wood Inc,2025-01-14,2830124000,Sequoia
Johnson-Reese,2025-01-14,2578041000,Sequoia
"Navarro, Ramirez and Miller",2025-01-14,1960670000,Y Combinator
Nelson-Padilla,2025-01-14,1169360000,Accel
Mueller-Moore,2025-01-13,616244000,Tiger Global
"Odonnell, Campos and Williams",2025-01-13,192273000,Tiger Global
"Sherman, Perez and Kelley",2025-01-13,3767727000,Index Ventures
Lopez-Thornton,2025-01-13,147513000,SoftBank
Mitchell Ltd,2025-01-13,1076468000,Index Ventures
Lewis-Jacobs,2025-01-13,574501000,Accel
Carter-Cooper,2025-01-13,228845000,Accel
"Sandoval, Kelly and Bush",2025-01-13,389065000,Andreessen Horowitz
"Smith, Gonzalez and Reyes",2025-01-13,372347000,Sequoia
"Carey, Ball and Smith",2025-01-13,947104000,Accel
"James, Moore and Gomez",2025-01-13,202569000,Sequoia
"Stanley, Martin and Stevens",2025-01-13,434202000,Y Combinator
Case-Peterson,2025-01-13,747307000,Sequoia
Arnold-Hall,2025-01-12,436326000,Y Combinator
"Carlson, Clarke and Williams",2025-01-12,271805000,Index Ventures
"Boyer, Fisher and Cain",2025-01-12,119860000,Y Combinator
Green-Edwards,2025-01-12,3794211000,Y Combinator
Dean-Perez,2025-01-12,872212000,Y Combinator
Martinez-Bailey,2025-01-12,654689000,Accel
Benitez Inc,2025-01-12,592632000,Sequoia
Lopez-James,2025-01-12,637418000,Sequoia
Gordon-Holmes,2025-01-12,306202000,Y Combinator
Anderson Inc,2025-01-12,249307000,Sequoia
Santos-Payne,2025-01-12,236643000,Index Ventures
"Mitchell, Fowler and Garner",2025-01-12,201455000,Andreessen Horowitz
Dodson-Maldonado,2025-01-11,2701344000,Sequoia
Whitehead-Freeman,2025-01-11,196970000,Y Combinator
"James, Mccarthy and Clark",2025-01-11,270039000,Andreessen Horowitz
Baker-Williams,2025-01-11,1646495000,Andreessen Horowitz
"Stanley, Martin and Harris",2025-01-11,309179000,Andreessen Horowitz
Dennis and Sons,2025-01-11,135063000,Sequoia
Hansen PLC,2025-01-11,162629000,SoftBank
"Allen, Escobar and Tate",2025-01-11,106878000,Tiger Global
"Lewis, Higgins and Garcia",2025-01-11,1840176000,Andreessen Horowitz
Day-Johnson,2025-01-11,141107000,Andreessen Horowitz
Erickson-Bryan,2025-01-11,236469000,SoftBank
Kim LLC,2025-01-11,150158000,Andreessen Horowitz
Young-Gray,2025-01-11,62854000,Accel
"Scott, Wang and West",2025-01-11,843765000,SoftBank
Nelson-Shelton,2025-01-11,237207000,Andreessen Horowitz
Campbell-Riley,2025-01-10,225840000,Tiger Global
Miller-Cruz,2025-01-10,88557000,Accel
"Lee, Miller and Liu",2025-01-10,115243000,Accel
Gordon-Cohen,2025-01-10,8056433000,Sequoia
"Morgan, Santiago and Marquez",2025-01-10,519740000,Y Combinator
Hernandez LLC,2025-01-10,1145798000,Andreessen Horowitz
Castro and Sons,2025-01-10,181096000,Sequoia
Griffin-Lopez,2025-01-10,1058313000,Andreessen Horowitz
Johnson PLC,2025-01-10,621961000,SoftBank
Murphy and Sons,2025-01-10,1020261000,Tiger Global
Powell-Kennedy,2025-01-10,1407105000,Y Combinator
Shelton-Green,2025-01-10,530418000,Andreessen Horowitz
"Webb, Briggs and Rojas",2025-01-10,910439000,Sequoia
"Mitchell, Valdez and Robinson",2025-01-10,125734000,Sequoia
"Berger, Martin and Frederick",2025-01-10,211686000,Accel
"Payne, Moore and Choi",2025-01-10,100401000,Accel
Long Group,2025-01-10,198407000,Tiger Global
Henderson Group,2025-01-10,43112000,Sequoia
Bradley Ltd,2025-01-09,1589154000,Andreessen Horowitz
Steele LLC,2025-01-09,109432000,Andreessen Horowitz
"Ortiz, Williams and Medina",2025-01-09,359286000,Accel
Morris-Palmer,2025-01-09,500796000,Index Ventures
"Madden, Allen and Wright",2025-01-09,740208000,Index Ventures
Hart Group,2025-01-09,462615000,Tiger Global
Lynn-Galloway,2025-01-09,1394164000,Y Combinator
"Molina, Thompson and Turner",2025-01-09,201606000,Index Ventures
"Wallace, Anderson and Wilson",2025-01-08,3731961000,SoftBank
Robinson Ltd,2025-01-08,941813000,Accel
"White, Vargas and Roach",2025-01-08,1111732000,Tiger Global
"French, Cole and Sullivan",2025-01-08,116218000,Accel
"Wilson, Middleton and Hernandez",2025-01-08,119407000,Sequoia
Harvey and Sons,2025-01-08,27671000,Accel
"Landry, Johnson and Mclean",2025-01-08,1464128000,SoftBank
"Cowan, Richardson and Fox",2025-01-08,266654000,Accel
"Scott, Atkinson and Rivers",2025-01-07,2549040000,SoftBank
Norris-Brown,2025-01-07,2285091000,Andreessen Horowitz
"Blake, Fernandez and Martin",2025-01-07,561300000,Index Ventures
"Velez, Lopez and Kennedy",2025-01-07,1161065000,Andreessen Horowitz
Carlson Ltd,2025-01-07,1043777000,SoftBank
"Morales, Graham and Peterson",2025-01-07,694829000,Tiger Global
Mcgrath LLC,2025-01-07,152710000,Index Ventures
Mccarthy-Hayes,2025-01-07,164999000,Accel
Trevino and Sons,2025-01-07,173127000,Index Ventures
Villarreal PLC,2025-01-07,106513000,SoftBank
Robbins Ltd,2025-01-07,104746000,Accel
"Walsh, Davis and Jackson",2025-01-07,466751000,Andreessen Horowitz
Wheeler-Pugh,2025-01-07,365602000,Tiger Global
Walters LLC,2025-01-07,225382000,Index Ventures
Wright Ltd,2025-01-06,5975405000,Andreessen Horowitz
Hall LLC,2025-01-06,7326615000,Y Combinator
"Richmond, Pierce and Clark",2025-01-06,794470000,Andreessen Horowitz
"Hunter, Sutton and Ramirez",2025-01-06,1146623000,Sequoia
"Douglas, Byrd and Cooley",2025-01-06,336802000,Andreessen Horowitz
"Mitchell, Arellano and Cox",2025-01-06,487036000,Y Combinator
Price Ltd,2025-01-06,127861000,Index Ventures
Townsend-Bennett,2025-01-06,361532000,Index Ventures
Miller and Sons,2025-01-06,435523000,Index Ventures
Simmons-Dyer,2025-01-05,245860000,Sequoia
"Mueller, Liu and Harris",2025-01-05,268009000,Tiger Global
"Salazar, Murray and Porter",2025-01-05,486252000,Y Combinator
Oconnell and Sons,2025-01-05,1328253000,Accel
"Johnson, Palmer and Pham",2025-01-05,998118000,Index Ventures
"Garcia, Li and Duncan",2025-01-05,145127000,Tiger Global
Lee Group,2025-01-05,909849000,Tiger Global
Gomez Ltd,2025-01-05,2664165000,Sequoia
"Romero, Reeves and Mckinney",2025-01-05,1410429000,Tiger Global
Duke-Davenport,2025-01-05,1242462000,Index Ventures
Martin Inc,2025-01-05,140780000,Accel
"Curtis, Gonzalez and Cannon",2025-01-05,1087328000,Y Combinator
Gomez LLC,2025-01-05,1060674000,Andreessen Horowitz
Rios Group,2025-01-04,261937000,Tiger Global
Jones and Sons,2025-01-04,61737000,Sequoia
Davis-Malone,2025-01-04,443947000,Y Combinator
Cruz-Moore,2025-01-04,126872000,Tiger Global
Anderson and Sons,2025-01-04,195505000,Sequoia
Brown-Walker,2025-01-04,51049000,Accel
"Johnson, Collins and Weaver",2025-01-04,615085000,Andreessen Horowitz
"Little, Dennis and Casey",2025-01-04,135478000,SoftBank
Hernandez-White,2025-01-04,1179594000,SoftBank
Miller Group,2025-01-04,588007000,Andreessen Horowitz
"Carter, Cooper and Gomez",2025-01-04,144385000,Accel
Sanchez-Rollins,2025-01-04,189307000,Andreessen Horowitz
Myers Inc,2025-01-04,356343000,SoftBank
Johnson-Moses,2025-01-03,114756000,Index Ventures
Vazquez-Long,2025-01-03,1493631000,Tiger Global
Carter Ltd,2025-01-03,561046000,Andreessen Horowitz
Patel and Sons,2025-01-03,114449000,Tiger Global
"Kirk, Robinson and Smith",2025-01-03,699662000,Accel
Clark-Dorsey,2025-01-03,242891000,Y Combinator
Howell-Gutierrez,2025-01-03,85139000,Accel
"George, Sampson and Payne",2025-01-03,198876000,Sequoia
Matthews-Deleon,2025-01-02,128361000,Sequoia
"Warren, Smith and Cunningham",2025-01-02,820957000,Y Combinator
Murphy PLC,2025-01-02,633806000,Index Ventures
"Russo, Perez and Kim",2025-01-02,847238000,Y Combinator
Howell PLC,2025-01-02,405181000,Sequoia
"Daniels, Kim and Rivera",2025-01-02,357795000,SoftBank
Sanchez Group,2025-01-02,1001802000,Sequoia
"Young, Sellers and King",2025-01-02,1138875000,Sequoia
Dunlap-Frazier,2025-01-02,1581919000,Andreessen Horowitz
Love Group,2025-01-02,1236042000,SoftBank
Flores-Taylor,2025-01-02,376311000,Sequoia
Campbell Group,2025-01-02,208532000,Index Ventures
"Orozco, Bauer and Vasquez",2025-01-02,746164000,Tiger Global
Silva Ltd,2025-01-02,993066000,Andreessen Horowitz
"Hansen, Baker and Stevenson",2025-01-02,311063000,SoftBank
Dean-Howard,2025-01-02,472073000,SoftBank
Park-Guzman,2025-01-02,997523000,Tiger Global
"Walker, Brown and Pena",2025-01-02,35661000,Y Combinator
Bowen Inc,2025-01-02,18174773000,Y Combinator
"Jacobs, Diaz and Wong",2025-01-01,464480000,Accel
Spence-Stewart,2025-01-01,704307000,Andreessen Horowitz
Schmitt and Sons,2025-01-01,1132436000,Sequoia
"Richardson, Barnett and Montgomery",2025-01-01,153820000,SoftBank
Campbell LLC,2025-01-01,411492000,Y Combinator
Watson PLC,2025-01-01,118137000,Andreessen Horowitz
Harris PLC,2025-01-01,349920000,Andreessen Horowitz
"Holmes, Fernandez and Hanson",2025-01-01,178794000,Index Ventures
"Rich, Young and Gregory",2025-01-01,708471000,Sequoia
Acosta PLC,2025-01-01,112818000,Sequoia
Hunt and Sons,2025-01-01,160373000,Andreessen Horowitz
"Mendez, Steele and Campos",2025-01-01,1296938000,Sequoia
"James, Johnson and Herrera",2025-01-01,173684000,Y Combinator
White-Allen,2025-01-01,200175000,Andreessen Horowitz
Hall LLC,2024-12-31,192791000,Accel
Cox-Yu,2024-12-31,270374000,Andreessen Horowitz
"Weaver, Collier and Robinson",2024-12-31,231719000,Andreessen Horowitz
"Johnson, Clark and Church",2024-12-31,152365000,Andreessen Horowitz
Dunn LLC,2024-12-31,568576000,Andreessen Horowitz
"Mathis, Lawrence and Smith",2024-12-31,2102223000,Y Combinator
Johnson-Miranda,2024-12-31,151533000,SoftBank
"Ramirez, Mason and Ortiz",2024-12-31,1550618000,Accel
Lawson-Lawson,2024-12-31,186515000,Tiger Global
Estrada LLC,2024-12-31,448993000,Sequoia
Arnold-Sullivan,2024-12-31,99980000,Y Combinator
"Vasquez, Bailey and Phillips",2024-12-31,601605000,Y Combinator
Barber LLC,2024-12-31,211846000,Y Combinator
Vaughn-Greene,2024-12-31,298339000,Sequoia
"Thornton, Hardin and Martin",2024-12-31,419795000,Index Ventures
"Smith, Brown and Ramos",2024-12-30,114285000,SoftBank
Valencia-Smith,2024-12-30,1860229000,Y Combinator
"Carney, Leonard and Barnett",2024-12-30,219786000,Tiger Global
Thomas-Payne,2024-12-30,1425954000,Andreessen Horowitz
"Mitchell, Williamson and Ray",2024-12-30,2433264000,Accel
"Avila, Edwards and Gallegos",2024-12-30,351462000,Index Ventures
Berger-Schmidt,2024-12-30,134541000,Y Combinator
"Duncan, Roberts and Stone",2024-12-30,92083000,Accel
Henry-Schwartz,2024-12-30,969725000,Sequoia
Acosta Inc,2024-12-30,872150000,SoftBank
Wallace PLC,2024-12-30,120485000,Tiger Global
Gibbs PLC,2024-12-30,702039000,Y Combinator
"Anderson, Kim and Lee",2024-12-30,667568000,Index Ventures
"Rogers, Wilson and Walton",2024-12-29,133072000,Tiger Global
"Moore, Wilson and Beasley",2024-12-29,311941000,Sequoia
Parsons-Campbell,2024-12-29,472954000,SoftBank
Jones-George,2024-12-29,2390613000,Accel
Mullins-Bowers,2024-12-29,46518000,Andreessen Horowitz
Burke LLC,2024-12-29,1125263000,SoftBank
Moore-Holden,2024-12-29,337031000,Y Combinator
Santiago Ltd,2024-12-29,257636000,Tiger Global
Fischer LLC,2024-12-29,23062000,Y Combinator
Moore-Moore,2024-12-29,130506000,SoftBank
"Williams, Wise and Carr",2024-12-29,447248000,Tiger Global
Harvey-Johnson,2024-12-29,291517000,Index Ventures
Vance-Miller,2024-12-28,581783000,SoftBank
"Rodriguez, Yates and Miller",2024-12-28,1630088000,Accel
Patrick Group,2024-12-28,8429041000,Sequoia
Raymond Group,2024-12-28,212109000,Andreessen Horowitz
Trujillo-Garcia,2024-12-28,78261000,Y Combinator
"Webb, Jones and Johnson",2024-12-28,281626000,SoftBank
Aguilar-Hernandez,2024-12-28,374740000,SoftBank
"Macdonald, Evans and Gardner",2024-12-28,590239000,SoftBank
Elliott-Sanders,2024-12-28,433498000,SoftBank
Gonzalez PLC,2024-12-28,1922278000,Andreessen Horowitz
Allen-Jones,2024-12-28,130235000,Accel
"Gutierrez, Martin and Galloway",2024-12-28,143584000,Tiger Global
Walker LLC,2024-12-28,1163780000,Tiger Global
Jackson Ltd,2024-12-28,683743000,Andreessen Horowitz
Robinson-Hogan,2024-12-27,40994000,Index Ventures
Diaz LLC,2024-12-27,404682000,Tiger Global
Barrett and Sons,2024-12-27,159855000,Index Ventures
Davis-Moreno,2024-12-27,299092000,SoftBank
Smith-Hill,2024-12-27,178326000,Sequoia
Munoz-Gillespie,2024-12-27,758059000,Tiger Global
Roberts-Medina,2024-12-27,118962000,Y Combinator
Stout-Saunders,2024-12-27,148301000,SoftBank
"Garrett, Delacruz and Jackson",2024-12-27,170279000,Andreessen Horowitz
"Cooper, Nguyen and Martinez",2024-12-27,642870000,Index Ventures
White-Brown,2024-12-27,1466648000,Index Ventures
Hall-Murphy,2024-12-27,402141000,Y Combinator
"Ramos, Wallace and Watts",2024-12-27,622883000,Andreessen Horowitz
Davenport LLC,2024-12-27,138372000,Accel
Saunders-Gregory,2024-12-27,249340000,Accel
Schneider and Sons,2024-12-27,167730000,Y Combinator
"Anderson, Olson and Edwards",2024-12-27,434603000,Accel
Campbell Inc,2024-12-27,871392000,Sequoia
Hughes Inc,2024-12-27,107763000,Index Ventures
"Thomas, Horton and Burke",2024-12-27,252100000,Accel
"Campbell, Sherman and Edwards",2024-12-26,157171000,Y Combinator
"Alvarado, Torres and Whitaker",2024-12-26,359769000,Accel
"Chavez, Johnson and Alvarez",2024-12-26,3328564000,Tiger Global
Garza and Sons,2024-12-26,302483000,SoftBank
Hensley-Johnson,2024-12-26,4089635000,Tiger Global
Le-Blair,2024-12-26,411372000,Index Ventures
Dean Ltd,2024-12-26,1275381000,SoftBank
Lee and Sons,2024-12-26,761382000,Tiger Global
Cooper-Rios,2024-12-26,2949570000,Tiger Global
"Peterson, Morgan and Hunt",2024-12-26,334930000,Sequoia
Campbell-Bolton,2024-12-26,25212000,Sequoia
"Sims, James and Hayes",2024-12-26,2409616000,Y Combinator
"Santana, Murphy and Padilla",2024-12-26,561216000,Index Ventures
Coleman-Hart,2024-12-25,391931000,Index Ventures
"Williamson, Castillo and Gross",2024-12-25,432420000,Y Combinator
Rivera and Sons,2024-12-25,105965000,SoftBank
Ramirez-Chambers,2024-12-25,298089000,Index Ventures
"Curry, Lester and Mcdonald",2024-12-25,472883000,Tiger Global
Williams-Rose,2024-12-25,551087000,Andreessen Horowitz
Mcclain and Sons,2024-12-25,264405000,Index Ventures
Jones Inc,2024-12-25,155746000,Andreessen Horowitz
Newton Ltd,2024-12-25,3919647000,Index Ventures
Wallace Ltd,2024-12-25,681777000,Sequoia
Richardson-Barr,2024-12-25,132317000,Y Combinator
"Meyers, Petersen and Davis",2024-12-25,144337000,SoftBank
Fisher Group,2024-12-25,267542000,Y Combinator
"Blevins, Adkins and Owens",2024-12-25,624748000,Sequoia
Evans-Reyes,2024-12-25,377861000,Tiger Global
"Donovan, White and Sloan",2024-12-25,1329471000,Andreessen Horowitz
Moore Group,2024-12-25,561764000,Andreessen Horowitz
Fisher-Wiley,2024-12-25,2355117000,Sequoia
"Jordan, Davidson and Craig",2024-12-25,175403000,Index Ventures
Combs-Santiago,2024-12-25,1594627000,SoftBank
"Carter, Russell and Gallagher",2024-12-24,439608000,Index Ventures
Jones-Durham,2024-12-24,85369000,Index Ventures
King-Lowe,2024-12-24,190318000,Index Ventures
Keller Inc,2024-12-24,703425000,Y Combinator
Cohen Ltd,2024-12-24,305977000,Y Combinator
"Duran, Hicks and Moore",2024-12-24,168340000,Andreessen Horowitz
Scott-Kidd,2024-12-24,150385000,SoftBank
Graves PLC,2024-12-24,288325000,Tiger Global
"Montgomery, Vasquez and Anderson",2024-12-24,1888781000,Accel
Green-Hunter,2024-12-24,454181000,Index Ventures
Scott and Sons,2024-12-24,2356436000,Andreessen Horowitz
"Johnson, Carr and Hunter",2024-12-24,246421000,Sequoia
Norman-Armstrong,2024-12-24,669201000,Tiger Global
"Dawson, Arellano and Hernandez",2024-12-24,371844000,Sequoia
"Williams, Craig and Nash",2024-12-24,740253000,Andreessen Horowitz
"Allen, Garza and Cuevas",2024-12-24,1151129000,Tiger Global
Ellis LLC,2024-12-23,488858000,Sequoia
Peters-Johnson,2024-12-23,232436000,Index Ventures
Hayes LLC,2024-12-23,1119160000,Index Ventures
Patton-Scott,2024-12-23,866172000,SoftBank
Miller Group,2024-12-23,870033000,SoftBank
"Travis, Gould and Brewer",2024-12-23,146625000,Tiger Global
Morgan Group,2024-12-23,855710000,Tiger Global
Spencer-Mendoza,2024-12-23,296664000,Accel
Hicks Inc,2024-12-23,523571000,Y Combinator
Alexander PLC,2024-12-23,368974000,SoftBank
"Bauer, Sanchez and Robinson",2024-12-23,271095000,Sequoia
King-Gonzalez,2024-12-23,191839000,Sequoia
Johnson and Sons,2024-12-23,666524000,Y Combinator
Cross-Murphy,2024-12-23,498210000,Accel
Wyatt-Rodriguez,2024-12-23,181225000,Accel
Smith and Sons,2024-12-23,145930000,Index Ventures
Leon-Bond,2024-12-22,42582000,Index Ventures
Rice-Berry,2024-12-22,1830334000,Tiger Global
"Taylor, Chavez and Morales",2024-12-22,387928000,Tiger Global
Robinson-Jones,2024-12-22,119144000,Sequoia
Martin PLC,2024-12-22,108682000,Andreessen Horowitz
Nunez-Scott,2024-12-22,778884000,Y Combinator
Miller-Dominguez,2024-12-22,1115045000,SoftBank
Wang Inc,2024-12-22,506112000,Andreessen Horowitz
"Rollins, Hernandez and Wilson",2024-12-22,359337000,Accel
Griffin-Duran,2024-12-22,292965000,Index Ventures
"Daniel, Trujillo and Daniel",2024-12-22,696339000,SoftBank
Gray-Stanley,2024-12-22,2956604000,Y Combinator
Sanchez-Wolfe,2024-12-22,3260024000,SoftBank
Andrews-Gonzales,2024-12-22,75330000,Tiger Global
Joseph LLC,2024-12-22,183849000,Y Combinator
"Lynch, Morris and Leblanc",2024-12-22,415284000,Index Ventures
Howell-Cole,2024-12-22,630357000,Tiger Global
Robinson-Wright,2024-12-22,344810000,Index Ventures
"Valdez, Griffin and Haley",2024-12-22,176462000,Index Ventures
Walton PLC,2024-12-22,189166000,Index Ventures
